[10:52:45] [系统] 已完成一键重置：波形已清空 -> Peak已归零 -> 日志已刷新。
[10:52:47] [RUNNING] Avg:-2010c (ΔH:[-2029,-2040,-1985,-1984]) | MaxDiff:56c (Limit:750c) | V:[2983,2918,2998,3000]RPM | I:[0.59,0.60,0.67,0.57]A
[10:52:47] [RUNNING] Avg:-2056c (ΔH:[-2068,-2078,-2039,-2041]) | MaxDiff:39c (Limit:750c) | V:[2994,2929,3000,2999]RPM | I:[0.59,0.60,0.67,0.57]A
[10:52:47] [RUNNING] Avg:-2063c (ΔH:[-2068,-2078,-2054,-2053]) | MaxDiff:25c (Limit:750c) | V:[3000,2935,2997,2998]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:47] [RUNNING] Avg:-2102c (ΔH:[-2121,-2131,-2078,-2077]) | MaxDiff:54c (Limit:750c) | V:[2983,2918,2998,3000]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:47] [RUNNING] Avg:-2135c (ΔH:[-2151,-2160,-2108,-2122]) | MaxDiff:52c (Limit:750c) | V:[2985,2921,3000,2992]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:47] [RUNNING] Avg:-2185c (ΔH:[-2205,-2212,-2162,-2161]) | MaxDiff:51c (Limit:750c) | V:[2983,2920,2998,3000]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2214c (ΔH:[-2235,-2212,-2198,-2212]) | MaxDiff:37c (Limit:750c) | V:[2988,2943,3000,2992]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2253c (ΔH:[-2259,-2271,-2240,-2242]) | MaxDiff:31c (Limit:750c) | V:[2999,2933,3000,2999]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2289c (ΔH:[-2304,-2309,-2267,-2275]) | MaxDiff:42c (Limit:750c) | V:[2988,2926,3000,2996]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2302c (ΔH:[-2304,-2324,-2291,-2290]) | MaxDiff:34c (Limit:750c) | V:[3000,2929,2997,2998]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2337c (ΔH:[-2358,-2362,-2315,-2314]) | MaxDiff:48c (Limit:750c) | V:[2982,2922,2998,3000]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2384c (ΔH:[-2397,-2400,-2369,-2371]) | MaxDiff:31c (Limit:750c) | V:[2993,2933,3000,2999]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2394c (ΔH:[-2397,-2400,-2384,-2395]) | MaxDiff:16c (Limit:750c) | V:[3000,2939,2997,2992]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2429c (ΔH:[-2450,-2452,-2408,-2407]) | MaxDiff:45c (Limit:750c) | V:[2983,2923,2998,3000]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2463c (ΔH:[-2480,-2482,-2438,-2452]) | MaxDiff:44c (Limit:750c) | V:[2984,2925,3000,2992]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2489c (ΔH:[-2495,-2511,-2482,-2467]) | MaxDiff:44c (Limit:750c) | V:[2991,2924,2989,3000]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2522c (ΔH:[-2540,-2526,-2512,-2512]) | MaxDiff:28c (Limit:750c) | V:[2991,2942,2998,3000]RPM | I:[0.59,0.60,0.67,0.58]A
[10:52:48] [RUNNING] Avg:-2557c (ΔH:[-2570,-2570,-2542,-2545]) | MaxDiff:28c (Limit:750c) | V:[2992,2934,3000,2999]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2602c (ΔH:[-2624,-2622,-2581,-2581]) | MaxDiff:43c (Limit:750c) | V:[2982,2925,2998,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2649c (ΔH:[-2663,-2661,-2635,-2638]) | MaxDiff:28c (Limit:750c) | V:[2992,2935,3000,2999]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2659c (ΔH:[-2663,-2661,-2650,-2662]) | MaxDiff:13c (Limit:750c) | V:[3000,2943,2998,2992]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2694c (ΔH:[-2716,-2713,-2674,-2674]) | MaxDiff:42c (Limit:750c) | V:[2982,2926,2998,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2741c (ΔH:[-2755,-2751,-2728,-2731]) | MaxDiff:27c (Limit:750c) | V:[2992,2937,3000,2999]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2751c (ΔH:[-2755,-2751,-2743,-2755]) | MaxDiff:12c (Limit:750c) | V:[3000,2944,2998,2992]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2787c (ΔH:[-2809,-2804,-2767,-2767]) | MaxDiff:42c (Limit:750c) | V:[2982,2927,2998,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2820c (ΔH:[-2839,-2833,-2797,-2812]) | MaxDiff:42c (Limit:750c) | V:[2983,2929,3000,2992]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2846c (ΔH:[-2854,-2848,-2842,-2841]) | MaxDiff:13c (Limit:750c) | V:[2999,2945,2998,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2876c (ΔH:[-2898,-2892,-2857,-2856]) | MaxDiff:42c (Limit:750c) | V:[2982,2928,2998,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2909c (ΔH:[-2928,-2921,-2887,-2901]) | MaxDiff:41c (Limit:750c) | V:[2983,2930,3000,2992]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2936c (ΔH:[-2943,-2951,-2932,-2916]) | MaxDiff:35c (Limit:750c) | V:[2990,2928,2989,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2969c (ΔH:[-2988,-2980,-2947,-2961]) | MaxDiff:41c (Limit:750c) | V:[2983,2931,3000,2992]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-2988c (ΔH:[-2988,-3009,-2977,-2976]) | MaxDiff:33c (Limit:750c) | V:[2999,2930,2998,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3030c (ΔH:[-3042,-3047,-3030,-3000]) | MaxDiff:47c (Limit:750c) | V:[2981,2921,2980,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3049c (ΔH:[-3042,-3047,-3054,-3054]) | MaxDiff:12c (Limit:750c) | V:[3000,2939,2984,2985]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3080c (ΔH:[-3111,-3100,-3054,-3054]) | MaxDiff:57c (Limit:750c) | V:[2972,2922,2998,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3119c (ΔH:[-3147,-3135,-3105,-3090]) | MaxDiff:57c (Limit:750c) | V:[2972,2922,2989,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3139c (ΔH:[-3147,-3135,-3129,-3144]) | MaxDiff:18c (Limit:750c) | V:[2996,2947,3000,2992]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3185c (ΔH:[-3203,-3191,-3177,-3168]) | MaxDiff:35c (Limit:750c) | V:[2985,2935,2993,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3208c (ΔH:[-3227,-3214,-3201,-3192]) | MaxDiff:35c (Limit:750c) | V:[2985,2936,2993,3000]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3238c (ΔH:[-3251,-3238,-3225,-3240]) | MaxDiff:26c (Limit:750c) | V:[2991,2942,3000,2992]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3262c (ΔH:[-3275,-3262,-3249,-3264]) | MaxDiff:26c (Limit:750c) | V:[2991,2942,3000,2992]RPM | I:[0.60,0.60,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3286c (ΔH:[-3299,-3285,-3273,-3288]) | MaxDiff:26c (Limit:750c) | V:[2991,2943,3000,2992]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3328c (ΔH:[-3347,-3332,-3321,-3312]) | MaxDiff:35c (Limit:750c) | V:[2985,2937,2993,3000]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3392c (ΔH:[-3401,-3385,-3390,-3390]) | MaxDiff:16c (Limit:750c) | V:[2999,2952,2999,3000]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3404c (ΔH:[-3401,-3385,-3414,-3414]) | MaxDiff:29c (Limit:750c) | V:[3000,2953,2985,2986]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3449c (ΔH:[-3470,-3453,-3429,-3444]) | MaxDiff:41c (Limit:750c) | V:[2982,2936,3000,2992]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3501c (ΔH:[-3535,-3488,-3495,-3486]) | MaxDiff:49c (Limit:750c) | V:[2976,2948,2993,3000]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3542c (ΔH:[-3559,-3541,-3534,-3536]) | MaxDiff:25c (Limit:750c) | V:[2991,2946,3000,2999]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3585c (ΔH:[-3583,-3564,-3597,-3597]) | MaxDiff:33c (Limit:750c) | V:[3000,2955,2985,2986]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3619c (ΔH:[-3652,-3617,-3597,-3611]) | MaxDiff:55c (Limit:750c) | V:[2973,2938,3000,2992]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:48] [RUNNING] Avg:-3648c (ΔH:[-3673,-3638,-3636,-3647]) | MaxDiff:37c (Limit:750c) | V:[2983,2949,3000,2994]RPM | I:[0.59,0.63,0.67,0.59]A
