[11:35:11] [系统] 已完成一键重置：波形已清空 -> Peak已归零 -> 日志已刷新。
[11:35:13] [RUNNING] Avg:-1545c (ΔH:[-1543,-1571,-1520,-1546]) | MaxDiff:51c (Limit:750c) | V:[2972,2933,2978,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:14] [RUNNING] Avg:-1570c (ΔH:[-1587,-1571,-1547,-1576]) | MaxDiff:40c (Limit:750c) | V:[2963,2951,2980,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:14] [RUNNING] Avg:-1635c (ΔH:[-1641,-1647,-1612,-1639]) | MaxDiff:35c (Limit:750c) | V:[2969,2943,2979,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:14] [RUNNING] Avg:-1704c (ΔH:[-1665,-1730,-1696,-1723]) | MaxDiff:65c (Limit:750c) | V:[3000,2939,2974,2994]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:14] [RUNNING] Avg:-1787c (ΔH:[-1793,-1798,-1764,-1792]) | MaxDiff:34c (Limit:750c) | V:[2970,2944,2980,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:14] [RUNNING] Avg:-1832c (ΔH:[-1849,-1874,-1764,-1840]) | MaxDiff:110c (Limit:750c) | V:[2955,2918,3000,2990]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:14] [RUNNING] Avg:-1872c (ΔH:[-1864,-1895,-1863,-1864]) | MaxDiff:32c (Limit:750c) | V:[2970,2930,2965,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:14] [RUNNING] Avg:-1918c (ΔH:[-1938,-1918,-1887,-1930]) | MaxDiff:51c (Limit:750c) | V:[2965,2955,2990,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:14] [TOTAL_DONE] Avg:-2016c (ΔH:[-2014,-2031,-2002,-2016]) | MaxDiff:39c (Limit:750c) | V:[0,0,0,0]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:14] Rx(Text): [SYS] Loaded Flash Abs Halls: L0=171617L1=171391L2=171596L3=171547
[11:35:14] Rx(Text): [SYS] System State -> READY, Halls Fully Stopped & Archived to Flash.

