[16:49:34] [RUNNING] Avg:116238c (ΔH:[116248,116237,116237,116230]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116268c (ΔH:[116263,116267,116267,116275]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116298c (ΔH:[116293,116297,116297,116305]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116328c (ΔH:[116338,116327,116327,116320]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116358c (ΔH:[116353,116357,116357,116365]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116384c (ΔH:[116383,116387,116387,116380]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116414c (ΔH:[116413,116417,116417,116410]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116448c (ΔH:[116458,116447,116447,116440]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116478c (ΔH:[116473,116477,116477,116485]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116508c (ΔH:[116503,116507,116507,116515]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116539c (ΔH:[116548,116537,116540,116530]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2994,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116568c (ΔH:[116563,116567,116567,116575]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116594c (ΔH:[116593,116597,116597,116590]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116624c (ΔH:[116623,116627,116626,116620]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116658c (ΔH:[116668,116657,116657,116650]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116688c (ΔH:[116683,116687,116686,116695]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2998,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116725c (ΔH:[116742,116717,116716,116725]) | MaxDiff:26c (Limit:750c) | V:[2984,2999,3000,2994]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116751c (ΔH:[116772,116746,116746,116740]) | MaxDiff:32c (Limit:750c) | V:[2980,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116774c (ΔH:[116772,116776,116776,116770]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116804c (ΔH:[116802,116806,116806,116800]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116841c (ΔH:[116847,116836,116836,116845]) | MaxDiff:11c (Limit:750c) | V:[2993,2999,3000,2994]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116867c (ΔH:[116862,116866,116866,116875]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116894c (ΔH:[116892,116896,116896,116890]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116924c (ΔH:[116922,116926,116926,116920]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116961c (ΔH:[116967,116956,116956,116965]) | MaxDiff:11c (Limit:750c) | V:[2993,2999,3000,2994]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116987c (ΔH:[116982,116986,116986,116995]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117014c (ΔH:[117012,117016,117016,117010]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117044c (ΔH:[117042,117046,117046,117040]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117081c (ΔH:[117087,117076,117076,117085]) | MaxDiff:11c (Limit:750c) | V:[2993,2999,3000,2994]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117107c (ΔH:[117102,117106,117106,117114]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117133c (ΔH:[117132,117136,117136,117129]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117163c (ΔH:[117162,117166,117166,117159]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117197c (ΔH:[117207,117196,117196,117189]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117227c (ΔH:[117222,117226,117226,117234]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117257c (ΔH:[117252,117256,117256,117264]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117287c (ΔH:[117297,117286,117286,117279]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:117317c (ΔH:[117311,117316,117316,117324]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
